error,category,name,url
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,fuzimaoxinan/Tensorflow-Deep-Neural-Networks,https://github.com/fuzimaoxinan/Tensorflow-Deep-Neural-Networks.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,SmartDataAnalytics/MA-INF-4223-DBDA-Lab,https://github.com/SmartDataAnalytics/MA-INF-4223-DBDA-Lab.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,Waikato/weka-3.8,https://github.com/Waikato/weka-3.8.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,henrysky/astroNN,https://github.com/henrysky/astroNN.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,BorgwardtLab/P-WL,https://github.com/BorgwardtLab/P-WL.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,OpenKore/openkore,https://github.com/OpenKore/openkore.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,sshleifer/object_detection_kitti,https://github.com/sshleifer/object_detection_kitti.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Tool,JuliaLang/julia,https://github.com/JuliaLang/julia.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,MaJerle/stm32f429,https://github.com/MaJerle/stm32f429.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,aabbcc1234mxd/OCR,https://github.com/aabbcc1234mxd/OCR.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,Neerajj9/CSRNet-keras,https://github.com/Neerajj9/CSRNet-keras.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,JoyceCoder/Data-Mining-Python,https://github.com/JoyceCoder/Data-Mining-Python.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,hls-fpga-machine-learning/hls4ml,https://github.com/hls-fpga-machine-learning/hls4ml.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,djpetti/isl-gazecapture,https://github.com/djpetti/isl-gazecapture.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,coin-or/Gravity,https://github.com/coin-or/Gravity.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Tool,kundajelab/dragonn,https://github.com/kundajelab/dragonn.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,PatMartin/Dex,https://github.com/PatMartin/Dex.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,Orderella/PopupDialog,https://github.com/Orderella/PopupDialog.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,MuhammedBuyukkinaci/TensorFlow-Binary-Image-Classification-using-CNN-s,https://github.com/MuhammedBuyukkinaci/TensorFlow-Binary-Image-Classification-using-CNN-s.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,amobiny/Capsule_Network_Tensorflow,https://github.com/amobiny/Capsule_Network_Tensorflow.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,lambdaclass/buzzconf,https://github.com/lambdaclass/buzzconf.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,cmusphinx/sphinx4,https://github.com/cmusphinx/sphinx4.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,samanyougarg/Group-Emotion-Recognition,https://github.com/samanyougarg/Group-Emotion-Recognition.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,talitalobo/controle-social,https://github.com/talitalobo/controle-social.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,SINGROUP/SOAPLite,https://github.com/SINGROUP/SOAPLite.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,RyanXingQL/MFQE2.0,https://github.com/RyanXingQL/MFQE2.0.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,havanagrawal/clomask,https://github.com/havanagrawal/clomask.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,CreateJS/EaselJS,https://github.com/CreateJS/EaselJS.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,HaliteChallenge/Halite-II,https://github.com/HaliteChallenge/Halite-II.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,pypyjs/pypyjs,https://github.com/pypyjs/pypyjs.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,annomator/annomator_1.0,https://github.com/annomator/annomator_1.0.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,Calysto/conx,https://github.com/Calysto/conx.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,AVAuco/ssd_people,https://github.com/AVAuco/ssd_people.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,FertigLab/CoGAPS,https://github.com/FertigLab/CoGAPS.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,philipperemy/yolo-9000,https://github.com/philipperemy/yolo-9000.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,greenelab/snorkeling,https://github.com/greenelab/snorkeling.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,ankit1khare/Automatic-Parking-Management,https://github.com/ankit1khare/Automatic-Parking-Management.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,fsharp/fsharp,https://github.com/fsharp/fsharp.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,Pinafore/qb,https://github.com/Pinafore/qb.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,moxiegushi/pokeGAN,https://github.com/moxiegushi/pokeGAN.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,misterch0c/shadowbroker,https://github.com/misterch0c/shadowbroker.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,googlesamples/io2015-codelabs,https://github.com/googlesamples/io2015-codelabs.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,LuZhenHuan/code,https://github.com/LuZhenHuan/code.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,raviolli77/machineLearning_breastCancer_Python,https://github.com/raviolli77/machineLearning_breastCancer_Python.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,Nrgeup/controllable-text-attribute-transfer,https://github.com/Nrgeup/controllable-text-attribute-transfer.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,POV-Ray/povray,https://github.com/POV-Ray/povray.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,jphall663/GWU_data_mining,https://github.com/jphall663/GWU_data_mining.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,clarkerubber/irwin,https://github.com/clarkerubber/irwin.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,Eurus-Holmes/cmu11-485-785,https://github.com/Eurus-Holmes/cmu11-485-785.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,KieranLitschel/PredictingClosingPriceTomorrow,https://github.com/KieranLitschel/PredictingClosingPriceTomorrow.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,be5invis/Sarasa-Gothic,https://github.com/be5invis/Sarasa-Gothic.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,NikhilCodes/VirtualBLU,https://github.com/NikhilCodes/VirtualBLU.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Tool,ClarityNLP/ClarityNLP,https://github.com/ClarityNLP/ClarityNLP.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,peterwhycs/T-BEAR,https://github.com/peterwhycs/T-BEAR.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,zxingify/zxingify-objc,https://github.com/zxingify/zxingify-objc.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,yifeitao/learn,https://github.com/yifeitao/learn.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,regl-project/regl,https://github.com/regl-project/regl.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,Roboy/tss18-robotsinmusicalimprovisation,https://github.com/Roboy/tss18-robotsinmusicalimprovisation.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,thunlp/THUTag,https://github.com/thunlp/THUTag.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,hcmlab/ssj,https://github.com/hcmlab/ssj.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,JKozerawski/siamese-network,https://github.com/JKozerawski/siamese-network.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,psipred/DMPfold,https://github.com/psipred/DMPfold.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,mbeyeler/opencv-python-blueprints,https://github.com/mbeyeler/opencv-python-blueprints.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,AllenDowney/ThinkDSP,https://github.com/AllenDowney/ThinkDSP.git 
